 TIME                    	HPT_Power                	LPT_Power                	Cond_Heat                	Cond_TES_FGC_Heat        	FGC_Heat                 	TES_Heat                 	DeaPumps_Power           	CondPump_Power           	mdot_FUEL                	ToTES                    	
  +7.1370000000000000E+03	  +3.2611061779218297E+07	  +2.1550454036029879E+07	  +0.0000000000000000E+00	  +1.0491171710400000E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7611498062617374E+06	  +5.5966253558689779E+04	  +1.1594338264112665E+02	  +0.0000000000000000E+00	
  +7.1380000000000000E+03	  +3.4110584724639408E+07	  +2.2637618515835986E+07	  +0.0000000000000000E+00	  +1.0863371849400000E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7619083787415880E+06	  +5.7358778596169781E+04	  +1.1583951878965189E+02	  +0.0000000000000000E+00	
  +7.1390000000000000E+03	  +3.6587810486232676E+07	  +2.4236363137052894E+07	  +0.0000000000000000E+00	  +1.1553922567799999E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7632104183186025E+06	  +5.9640801007947892E+04	  +1.1567525692952231E+02	  +0.0000000000000000E+00	
  +7.1400000000000000E+03	  +3.8952093955011278E+07	  +2.5923266243184932E+07	  +0.0000000000000000E+00	  +1.2234857686199999E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7640007626534468E+06	  +6.1573718596452934E+04	  +1.1555237356815182E+02	  +0.0000000000000000E+00	
  +7.1410000000000000E+03	  +4.0137794511157095E+07	  +2.6954985641698040E+07	  +0.0000000000000000E+00	  +1.2593493916200000E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7646178931627967E+06	  +6.2656476928856704E+04	  +1.1546888146960781E+02	  +0.0000000000000000E+00	
  +7.1420000000000000E+03	  +4.0139043777163625E+07	  +2.6996980198427558E+07	  +0.0000000000000000E+00	  +1.2600379188000000E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7647597744805182E+06	  +6.2580373363582759E+04	  +1.1545878417703622E+02	  +0.0000000000000000E+00	
  +7.1430000000000000E+03	  +4.0132927023922667E+07	  +2.6890769069567606E+07	  +0.0000000000000000E+00	  +1.2583764082800001E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7647218546864970E+06	  +6.2530180621568208E+04	  +1.1545971173286976E+02	  +0.0000000000000000E+00	
  +7.1440000000000000E+03	  +4.0109733484068274E+07	  +2.6807213795308039E+07	  +0.0000000000000000E+00	  +1.2581360944200000E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7647514346639689E+06	  +6.2582977436847032E+04	  +1.1546313016283115E+02	  +0.0000000000000000E+00	
  +7.1450000000000000E+03	  +4.0109638675504684E+07	  +2.6764575981897704E+07	  +0.0000000000000000E+00	  +1.2573792370800000E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7647114411068950E+06	  +6.2630680786473451E+04	  +1.1546396021496334E+02	  +0.0000000000000000E+00	
  +7.1460000000000000E+03	  +3.8363100479258761E+07	  +2.5620015087859977E+07	  +0.0000000000000000E+00	  +1.2136471513200001E+08	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.7641193777724267E+06	  +6.1012433985206633E+04	  +1.1552723498435029E+02	  +0.0000000000000000E+00	
