Date/Time;Environment:Site Outdoor Air Drybulb Temperature [C](Hourly);ZONE ONE LIGHTS:Lights Electric Energy [J](Hourly);ZONE ONE:Zone Air Temperature [C](Hourly);RADIATOR:Baseboard Total Heating Rate [W](Hourly);RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly);RADIATOR:Baseboard Water Inlet Temperature [C](Hourly);RADIATOR:Baseboard Water Outlet Temperature [C](Hourly);DISTRICT HEATING 1:District Heating Rate [W](Hourly);DISTRICT HEATING 1:District Heating Inlet Temperature [C](Hourly);DISTRICT HEATING 1:District Heating Outlet Temperature [C](Hourly);DISTRICT HEATING 1:District Heating Mass Flow Rate [kg/s](Hourly);DistrictHeating:Facility [J](Hourly) 
 01/08  21:00:00;-3.075;180000;20.07735112;956.5866022;0.011543012;55;24.0307223;1497.115524;23.96716701;55;0.011543012;5389615.886
 01/08  22:00:00;-3.433333333;180000;20.07870825;977.0984754;0.011802181;55;24.06714585;1529.56824;23.99063737;55;0.011802181;5506445.664
 01/08  23:00:00;-3.891666667;180000;20.08062058;999.4231495;0.012084135;55;24.10647037;1564.804232;24.01638704;55;0.012084135;5633295.236
 01/08  24:00:00;-4.333333333;180000;20.08290685;1025.937073;0.012420201;55;24.15263487;1606.816932;24.0453004;55;0.012420201;5784540.954
 01/09  01:00:00;-4.791666667;180000;20.08559847;1051.382741;0.012742027;55;24.19638455;1646.754053;24.07708153;55;0.012742027;5928314.59
 01/09  02:00:00;-5.175;180000;20.08720055;1073.948304;0.013029677;55;24.23448393;1682.073118;24.11108685;55;0.013029677;6055463.223
 01/09  03:00:00;-5.416666667;180000;20.08859234;1087.11905;0.013194862;55;24.25660169;1701.517537;24.14511195;55;0.013194862;6125463.132
 01/09  04:00:00;-5.675;180000;20.08936565;1097.440085;0.01332587;55;24.27329444;1716.628901;24.17702266;55;0.01332587;6179864.045
 01/09  05:00:00;-5.858333333;180000;20.09020832;1105.552034;0.013428399;55;24.28699909;1728.157593;24.20686525;55;0.013428399;6221367.336
 01/09  06:00:00;-5.958333333;360000;20.08699275;1066.83642;0.012927148;55;24.2219572;1662.509199;24.22790513;55;0.012927148;5985033.115
 01/09  07:00:00;-6.058333333;360000;20.0889608;1076.355535;0.013043917;55;24.23742959;1676.746136;24.24217497;55;0.013043917;6036286.089
 01/09  08:00:00;-6.1;1080000;20.07595219;916.3020285;0.010993345;55;23.95505719;1413.421285;24.23646749;55;0.010993345;5088316.627
 01/09  09:00:00;-6.041666667;3240000;20.03531208;420.1719404;0.004850173;55;22.81549372;624.5996892;24.18856913;55;0.004850173;2248558.881
 01/09  10:00:00;-6;3240000;20.03778088;430.4431295;0.004956973;55;22.84030051;639.7929503;24.11640028;55;0.004956973;2303254.621
 01/09  11:00:00;-5.825;3240000;20.02901445;329.1649034;0.003756534;55;22.53012031;485.9000519;24.04919477;55;0.003756534;1749240.187
 01/09  12:00:00;-5.525;3240000;20.02248357;260.7482649;0.002956953;55;22.29468453;383.2328196;23.9892673;55;0.002956953;1379638.151
 01/09  13:00:00;-5.225;3240000;20.0176836;210.9664773;0.002381654;55;22.10427431;309.2007053;23.93602761;55;0.002381654;1113122.539
 01/09  14:00:00;-5.216666667;3240000;20.01521729;180.2956079;0.002027076;55;21.97636072;263.5695658;23.88987606;55;0.002027076;948850.437
 01/09  15:00:00;-5.416666667;3240000;20.02511607;302.4476856;0.003453932;55;22.43239819;449.8271038;23.84177942;55;0.003453932;1619377.574
 01/09  16:00:00;-5.616666667;3240000;20.03624077;423.0821504;0.004872957;55;22.81790558;635.6702747;23.78890278;55;0.004872957;2288412.989
