 TIME                    	Wgross_MW                	Wnet_MW                  	Qboiler_MW               	Q_LHV_MW                 	eta_gross                	eta_net                  	eta_CHP                  	
  +1.8000000000000000E+01	  +2.9338215832597051E+01	  +2.6058766758647156E+01	  +7.7295230441756942E+01	  +9.3126783664767387E+01	  +3.1503520982972122E-01	  +2.7982032379054400E-01	  +2.9055837315343991E-01	
  +1.8125000000000000E+01	  +2.8713781033569738E+01	  +2.9065340190965689E+01	  +7.7847974685716451E+01	  +9.3792740585200534E+01	  +3.0614076158150411E-01	  +3.0988901709896172E-01	  +3.2055082305282023E-01	
  +1.8250000000000000E+01	  +2.9338186720313395E+01	  +2.6058740777109755E+01	  +7.7295262116566363E+01	  +9.3126821827188380E+01	  +3.1503476812249714E-01	  +2.7981993013211476E-01	  +2.9055797509466769E-01	
  +1.8375000000000000E+01	  +2.8713777114906581E+01	  +2.9082229376221864E+01	  +7.7847986617474845E+01	  +9.3792754960813056E+01	  +3.0614067287929969E-01	  +3.1006903879060299E-01	  +3.2073084311032685E-01	
  +1.8500000000000000E+01	  +2.9338160236188099E+01	  +2.6058717173907240E+01	  +7.7295295688737355E+01	  +9.3126862275587172E+01	  +3.1503434690378246E-01	  +2.7981955514395579E-01	  +2.9055759544258342E-01	
  +1.8625000000000000E+01	  +2.8713780739826742E+01	  +2.9099130896135868E+01	  +7.7847998559195275E+01	  +9.3792769348428038E+01	  +3.0614066456614314E-01	  +3.1024919189704647E-01	  +3.2091099458127181E-01	
  +1.8750000000000000E+01	  +2.9338132169892322E+01	  +2.6058692146639448E+01	  +7.7295329191595073E+01	  +9.3126902640475990E+01	  +3.1503390897853195E-01	  +2.7981916511538191E-01	  +2.9055720075971753E-01	
  +1.8875000000000000E+01	  +2.8713779648546957E+01	  +2.9116031808188019E+01	  +7.7848010469485743E+01	  +9.3792783698175583E+01	  +3.0614060609340338E-01	  +3.1042933859264882E-01	  +3.2109113964568070E-01	
  +1.9000000000000000E+01	  +2.9338104636734649E+01	  +2.6058667599330100E+01	  +7.7295362753608913E+01	  +9.3126943076637232E+01	  +3.1503347653741148E-01	  +2.7981878002680238E-01	  +2.9055681100863184E-01	
  +1.9125000000000000E+01	  +2.8713782279719887E+01	  +2.9124759188390254E+01	  +7.7848016741579812E+01	  +9.3792791254915429E+01	  +3.0614060948116922E-01	  +3.1052236316577159E-01	  +3.2118416335979866E-01	
  +1.9250000000000000E+01	  +2.9338111937274807E+01	  +2.6058674065013204E+01	  +7.7295347640656402E+01	  +9.3126924868260716E+01	  +3.1503361652687567E-01	  +2.7981890416629074E-01	  +2.9055693724764309E-01	
  +1.9375000000000000E+01	  +2.8713777938586247E+01	  +2.9108942571450040E+01	  +7.7848005548545558E+01	  +9.3792777769331991E+01	  +3.0614060721394870E-01	  +3.1035377417906024E-01	  +3.2101557590604751E-01	
  +1.9500000000000000E+01	  +2.9338139421483092E+01	  +2.6058698583328734E+01	  +7.7295316285619123E+01	  +9.3126887091107363E+01	  +3.1503403944750319E-01	  +2.7981928095411518E-01	  +2.9055731839137738E-01	
  +1.9625000000000000E+01	  +2.8713781909729118E+01	  +2.9093134570918028E+01	  +7.7847994245584061E+01	  +9.3792764151306088E+01	  +3.0614069400287819E-01	  +3.1018527744832330E-01	  +3.2084708072332652E-01	
  +1.9750000000000000E+01	  +2.9338162900107594E+01	  +2.6058719496421602E+01	  +7.7295284853355525E+01	  +9.3126849220910259E+01	  +3.1503441967110107E-01	  +2.7981961930878363E-01	  +2.9055766111268766E-01	
  +1.9875000000000000E+01	  +2.8713777681464414E+01	  +2.9077325548155194E+01	  +7.7847983064687469E+01	  +9.3792750680346344E+01	  +3.0614069289132384E-01	  +3.1001676928372840E-01	  +3.2067857409003042E-01	
  +2.0000000000000000E+01	  +2.9338196338986769E+01	  +2.6058749373944952E+01	  +7.7295253482269118E+01	  +9.3126811424420609E+01	  +3.1503490659934080E-01	  +2.7982005370272534E-01	  +2.9055809986477588E-01	
  +2.0125000000000000E+01	  +2.8713782807895470E+01	  +2.9058258309011720E+01	  +7.7847969687280653E+01	  +9.3792734562988727E+01	  +3.0614080015560319E-01	  +3.0981353134018030E-01	  +3.2047533797860844E-01	
  +2.0250000000000000E+01	  +2.9338221560030156E+01	  +2.6058771720185927E+01	  +7.7295202573847661E+01	  +9.3126750088973083E+01	  +3.1503538491357730E-01	  +2.7982047795385789E-01	  +2.9055853118823582E-01	
  +2.0375000000000000E+01	  +2.8713777223773995E+01	  +2.9029383324024856E+01	  +7.7847949291214732E+01	  +9.3792709989415329E+01	  +3.0614082082727317E-01	  +3.0950575292366406E-01	  +3.2016756235547222E-01	
  +2.0500000000000000E+01	  +2.9338289127586219E+01	  +2.6058832133383724E+01	  +7.7295145145496008E+01	  +9.3126680898187956E+01	  +3.1503634452150947E-01	  +2.7982133457406161E-01	  +2.9055939578654338E-01	
  +2.0625000000000000E+01	  +2.8713798900190710E+01	  +2.9000544845657991E+01	  +7.7847928874244246E+01	  +9.3792685390655706E+01	  +3.0614113222790168E-01	  +3.0919836365562930E-01	  +3.1986017588368204E-01	
