,QDHtot_kW,Tindoor0_Cdeg,Tindoor1_Cdeg,QDHapt0_W,QDHapt1_W,Tthermo0_Cdeg,Tthermo1_Cdeg,TsetP_Cdeg,COG_MDOTtoTES_kgs,COG_MDOTfromTES_kgs,COG_MDOTtoLOAD_kgs,HOB_Q_kW,HOB_Flag,HOB_mdotOUT
2000-01-03 15:00:00,45257.75958487095,20.07536645858182,20.07101911624284,1273.089200778201,1309.537613475224,20.0,20.0,79.48,55.671564134565905,0.0,451.3284358654341,0.0,-1.0,0.0
2000-01-03 16:00:00,47669.50957418582,20.07271970511682,20.07392307782749,1341.421371613673,1355.726813814015,20.0,20.0,80.2,31.620630983057524,0.0,475.3793690169425,0.0,-1.0,0.0
2000-01-03 17:00:00,48393.89560011154,20.07295907704083,20.07235975032257,1312.877318377922,1333.910394075994,20.0,20.0,80.2,24.39676451113956,0.0,482.6032354888604,0.0,-1.0,0.0
2000-01-03 18:00:00,43117.751703252994,20.42832597641944,20.19143887947634,1278.133727914503,1176.280073207717,20.0,20.0,80.2,77.01257656670546,0.0,429.98742343329457,0.0,-1.0,0.0
2000-01-03 19:00:00,24182.127230995902,20.91349816533459,20.74833576003832,766.8886220668494,590.4132874991474,20.0,20.0,80.2,265.8461788835483,0.0,241.15382111645175,0.0,1.0,0.0
2000-01-03 20:00:00,22259.897711333055,20.58755257463352,20.47806284320656,639.3860767641545,591.684980444763,20.0,20.0,80.2,285.0154185993508,0.0,221.9845814006492,4831.982780264214,1.0,221.9845814006492
2000-01-03 21:00:00,0.0,19.71670235774482,19.64192526077172,5.90070664e-316,9.895076e-316,20.0,20.0,80.2,507.00000000000006,0.0,0.0,0.0,1.0,0.0
2000-01-03 22:00:00,0.0,19.44119179306033,19.37034732637171,5.90070585e-316,9.89509735e-316,20.0,20.0,80.2,507.00000000000006,0.0,0.0,0.0,-1.0,0.0
2000-01-03 23:00:00,0.0,18.96778972092449,18.89823411958502,5.90070585e-316,9.89509735e-316,21.0,21.0,79.48,507.0,0.0,0.0,0.0,1.0,0.0
2000-01-04 00:00:00,0.0,18.68036515661992,18.61096177163392,5.9007035e-316,9.8950934e-316,22.0,22.0,78.94,507.0,0.0,0.0,0.0,1.0,0.0
2000-01-04 01:00:00,0.0,18.25676083545078,18.18618747174646,5.90070585e-316,9.895076e-316,22.0,22.0,78.22,507.00000000000006,0.0,0.0,0.0,1.0,0.0
2000-01-04 02:00:00,0.0,18.038907107079,17.97464297489616,5.90070664e-316,9.89508786e-316,22.0,22.0,79.48,507.00000000000006,0.0,0.0,0.0,1.0,0.0
2000-01-04 03:00:00,0.0,17.91650300331238,17.85585256548351,5.90070506e-316,9.89509735e-316,22.0,22.0,80.56,507.00000000000006,0.0,0.0,0.0,1.0,0.0
