 TIME                    ,CSP_load_factor          ,HT_Level                 ,Global_Radiation         ,dtSim                    ,ct_fr                    ,DNI                      ,FILL_FREQ                ,EMP_FREQ                 ,PowerCSP                 ,PowerPV                  ,Ptotal                   ,AC_Crtld                 ,PVnet_to_grid            ,DC_curtailed             ,cleanCSP                 ,LOAD                     ,
  +3.2000000000000000E+01,  +6.0791499999999998E-01,  +3.9470968689000741E-01,  +1.0080000000000000E+03,  +1.0000000000000000E+00,  +4.3164649236398354E+09,  +3.6666000000000004E+03,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +1.1929081260055162E+02,  +1.0000000000000000E+02,  +2.1929081260055162E+02,  +0.0000000000000000E+00,  +1.0000000000000000E+02,  +1.6897000000000001E-01,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +3.3000000000000000E+01,  +5.7132000000000005E-01,  +5.0890197702001583E-01,  +1.3434000000000001E+03,  +1.0000000000000000E+00,  +4.3802104845619526E+09,  +3.4686000000000004E+03,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +1.0233965231828356E+02,  +1.0000000000000000E+02,  +2.0233965231828356E+02,  +0.0000000000000000E+00,  +1.0000000000000000E+02,  +5.0266999999999995E-01,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +3.4000000000000000E+01,  +5.7132000000000005E-01,  +5.9720798364703576E-01,  +9.2215999999999997E+02,  +1.0000000000000000E+00,  +2.6919745354774365E+09,  +2.0232000000000000E+03,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +1.0453309601065611E+02,  +1.0000000000000000E+02,  +2.0453309601065610E+02,  +0.0000000000000000E+00,  +1.0000000000000000E+02,  +6.7776000000000003E-02,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +3.5000000000000000E+01,  +5.7132000000000005E-01,  +6.3039084006586943E-01,  +9.6279999999999995E+02,  +1.0000000000000000E+00,  +1.1153498223150821E+09,  +8.0820000000000005E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +1.0229754804270544E+02,  +1.0000000000000000E+02,  +2.0229754804270544E+02,  +0.0000000000000000E+00,  +1.0000000000000000E+02,  +1.1020000000000001E-01,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +3.6000000000000000E+01,  +5.7132000000000005E-01,  +6.3662644345532882E-01,  +9.2263000000000000E+02,  +1.0000000000000000E+00,  +1.0504781149546701E+09,  +7.5059999999999991E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +1.0037876150138607E+02,  +1.0000000000000000E+02,  +2.0037876150138607E+02,  +0.0000000000000000E+00,  +1.0000000000000000E+02,  +6.6605999999999999E-02,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +3.7000000000000000E+01,  +6.0482000000000002E-01,  +6.3937806360744653E-01,  +7.6601999999999998E+02,  +1.0000000000000000E+00,  +9.0436844908567536E+08,  +6.4620000000000005E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +1.0048152859667621E+02,  +8.4370999999999995E+01,  +1.8485252859667622E+02,  +0.0000000000000000E+00,  +8.4370999999999995E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +3.8000000000000000E+01,  +6.7185499999999998E-01,  +6.3484000747590341E-01,  +6.1329999999999995E+02,  +1.0000000000000000E+00,  +7.7254742703784072E+08,  +5.5979999999999995E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +1.1748675618826624E+02,  +6.8724999999999994E+01,  +1.8621175618826624E+02,  +0.0000000000000000E+00,  +6.8724999999999994E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +3.9000000000000000E+01,  +7.4637500000000001E-01,  +6.2297819129408472E-01,  +4.3563000000000000E+02,  +1.0000000000000000E+00,  +7.4723848315743792E+08,  +5.6160000000000002E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +1.2919825657056703E+02,  +4.9603999999999999E+01,  +1.7880225657056701E+02,  +0.0000000000000000E+00,  +4.9603999999999999E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +4.0000000000000000E+01,  +8.2976000000000005E-01,  +6.0340782508844581E-01,  +2.6062000000000000E+02,  +1.0000000000000000E+00,  +6.3418719522199523E+08,  +5.0220000000000005E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +1.4834245755498364E+02,  +2.9823000000000000E+01,  +1.7816545755498365E+02,  +0.0000000000000000E+00,  +2.9823000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
  +4.1000000000000000E+01,  +9.0877500000000000E-01,  +5.7276761457068159E-01,  +1.1470000000000000E+02,  +1.0000000000000000E+00,  +4.7042474867356086E+08,  +3.9960000000000002E+02,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +1.6760117221213457E+02,  +1.2740000000000000E+01,  +1.8034117221213458E+02,  +0.0000000000000000E+00,  +1.2740000000000000E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,  +2.0000000000000000E+02,
