,OUT||Base8||Tout,OUT||Base8||mdot
2000-01-25 18:00:00,75.0,507.0
2000-01-25 19:00:00,75.0,306.1139010150678
2000-01-25 20:00:00,75.0,363.58717715146474
2000-01-25 21:00:00,75.0,0.0
2000-01-25 22:00:00,75.0,0.0
2000-01-25 23:00:00,75.0,0.0
2000-01-26 00:00:00,75.0,0.0
2000-01-26 01:00:00,75.0,0.0
2000-01-26 02:00:00,75.0,0.0
2000-01-26 03:00:00,75.0,0.0
2000-01-26 04:00:00,75.0,0.0
2000-01-26 05:00:00,75.0,0.0
2000-01-26 06:00:00,75.0,503.230210272885
2000-01-26 07:00:00,75.0,451.0687610410584
2000-01-26 08:00:00,75.0,442.18752841811613
2000-01-26 09:00:00,75.0,507.0
2000-01-26 10:00:00,75.0,507.0
2000-01-26 11:00:00,75.0,507.0
2000-01-26 12:00:00,75.0,507.0
2000-01-26 13:00:00,75.0,507.0
2000-01-26 14:00:00,75.0,507.0
2000-01-26 15:00:00,75.0,507.0
2000-01-26 16:00:00,75.0,507.0
2000-01-26 17:00:00,75.0,507.0
2000-01-26 18:00:00,75.0,507.0
