Date/Time,DistrictHeating:Facility [J](Hourly) 
 01/25  13:00:00,7495200.0 
 01/25  14:00:00,7452000.0 
 01/25  15:00:00,7443000.274514416 
 01/25  16:00:00,7364136.922939707 
 01/25  17:00:00,7347935.404882949 
 01/25  18:00:00,6810543.86673161 
 01/25  19:00:00,4695512.637789702 
 01/25  20:00:00,4707222.833981496 
 01/25  21:00:00,259200.0 
 01/25  22:00:00,324000.0 
 01/25  23:00:00,216000.0 
 01/25  24:00:00,57600.0 
 01/26  01:00:00,43200.0 
 01/26  02:00:00,43200.0 
 01/26  03:00:00,43200.0 
 01/26  04:00:00,43200.0 
 01/26  05:00:00,43200.0 
 01/26  06:00:00,5108479.200036007 
 01/26  07:00:00,5099182.341223506 
 01/26  08:00:00,4930338.226103002 
 01/26  09:00:00,7502400.0 
 01/26  10:00:00,7397681.063858564 
 01/26  11:00:00,7074180.825309903 
 01/26  12:00:00,6660421.392453928 
 01/26  13:00:00,6584828.3391548669 
 01/26  14:00:00,6715354.919688438 
 01/26  15:00:00,6703468.996261649 
 01/26  16:00:00,6772552.485511771 
 01/26  17:00:00,6744263.541670061 
 01/26  18:00:00,6082731.374693463 
 01/26  19:00:00,4741012.806958105 
 01/26  20:00:00,4722964.217038547 
 01/26  21:00:00,259200.0 
 01/26  22:00:00,324000.0 
 01/26  23:00:00,216000.0 
 01/26  24:00:00,57600.0 
 01/27  01:00:00,43200.0 
 01/27  02:00:00,43200.0 
 01/27  03:00:00,43200.0 
 01/27  04:00:00,43200.0 
 01/27  05:00:00,43200.0 
 01/27  06:00:00,5120550.494229643 
 01/27  07:00:00,4733792.009281273 
 01/27  08:00:00,4934755.281960846 
 01/27  09:00:00,6772462.677715125 
 01/27  10:00:00,6958361.209307093 
 01/27  11:00:00,6196852.217783024 
 01/27  12:00:00,6035471.762124958 
 01/27  13:00:00,5838460.171519944 
 01/27  14:00:00,6042699.078472726 
 01/27  15:00:00,6038551.351844739 
 01/27  16:00:00,5961913.756461278 
 01/27  17:00:00,5801670.225264358 
 01/27  18:00:00,5077792.272237689 
 01/27  19:00:00,4873764.784303738 
 01/27  20:00:00,4807124.378826964 
 01/27  21:00:00,259200.0 
 01/27  22:00:00,324000.0 
 01/27  23:00:00,216000.0 
 01/27  24:00:00,57600.0 
 01/28  01:00:00,43200.0 
 01/28  02:00:00,43200.0 
 01/28  03:00:00,43200.0 
 01/28  04:00:00,43200.0 
 01/28  05:00:00,43200.0 
 01/28  06:00:00,5046688.29190697 
 01/28  07:00:00,4683110.662366064 
 01/28  08:00:00,4843619.039947378 
 01/28  09:00:00,4932850.937075104 
 01/28  10:00:00,4909732.458052194 
 01/28  11:00:00,6221077.167872742 
 01/28  12:00:00,6071826.809493922 
 01/28  13:00:00,5786710.177948938 
 01/28  14:00:00,6009260.627259131 
 01/28  15:00:00,6006999.476843003 
 01/28  16:00:00,5944221.6495018689 
 01/28  17:00:00,4758448.516606269 
 01/28  18:00:00,4873206.460364431 
 01/28  19:00:00,4874929.393968609 
 01/28  20:00:00,4849566.068045729 
 01/28  21:00:00,223200.0 
 01/28  22:00:00,223200.0 
 01/28  23:00:00,201600.00000000004 
 01/28  24:00:00,72000.0 
 01/29  01:00:00,43200.0 
 01/29  02:00:00,43200.0 
 01/29  03:00:00,43200.0 
 01/29  04:00:00,43200.0 
 01/29  05:00:00,43200.0 
 01/29  06:00:00,5087198.717626661 
 01/29  07:00:00,4733055.300642651 
 01/29  08:00:00,4800127.107061708 
 01/29  09:00:00,4907121.048868747 
 01/29  10:00:00,4904862.0867359 
 01/29  11:00:00,6974271.020249792 
 01/29  12:00:00,6411940.889247915 
 01/29  13:00:00,6213344.937094107 
 01/29  14:00:00,6243998.90949438 
 01/29  15:00:00,6100787.733638681 
 01/29  16:00:00,6407507.266343349 
 01/29  17:00:00,4679397.539169664 
 01/29  18:00:00,4811496.624013409 
 01/29  19:00:00,4803281.850890277 
 01/29  20:00:00,4764105.946585021 
 01/29  21:00:00,216000.0 
 01/29  22:00:00,244800.0 
 01/29  23:00:00,187200.0 
 01/29  24:00:00,86400.0 
 01/30  01:00:00,43200.0 
 01/30  02:00:00,43200.0 
 01/30  03:00:00,43200.0 
 01/30  04:00:00,43200.0 
 01/30  05:00:00,43200.0 
 01/30  06:00:00,5040603.061641254 
 01/30  07:00:00,4778038.296227259 
 01/30  08:00:00,4964531.971719462 
 01/30  09:00:00,7001572.344829444 
 01/30  10:00:00,7430400.0 
 01/30  11:00:00,6449709.467853136 
 01/30  12:00:00,6175691.550700508 
 01/30  13:00:00,6016866.542512547 
 01/30  14:00:00,6084786.46193254 
 01/30  15:00:00,5964829.604610505 
 01/30  16:00:00,6286861.867907827 
 01/30  17:00:00,6033451.9481807299 
 01/30  18:00:00,5111824.159241879 
 01/30  19:00:00,3722500.74128303 
 01/30  20:00:00,3300178.053373451 
 01/30  21:00:00,259200.0 
 01/30  22:00:00,324000.0 
 01/30  23:00:00,216000.0 
 01/30  24:00:00,57600.0 
 01/31  01:00:00,43200.0 
 01/31  02:00:00,43200.0 
 01/31  03:00:00,43200.0 
 01/31  04:00:00,43200.0 
 01/31  05:00:00,43200.0 
 01/31  06:00:00,5195196.187960134 
 01/31  07:00:00,4910621.055680664 
 01/31  08:00:00,4963963.597798648 
 01/31  09:00:00,7502400.0 
 01/31  10:00:00,7430400.0 
 01/31  11:00:00,7394400.0 
 01/31  12:00:00,7303181.3501775809 
 01/31  13:00:00,6935990.31523318 
 01/31  14:00:00,7117992.695397335 
 01/31  15:00:00,7029963.076685607 
 01/31  16:00:00,6992841.799648399 
 01/31  17:00:00,6873532.813342825 
 01/31  18:00:00,6222457.685928219 
 01/31  19:00:00,4704200.579343479 
 01/31  20:00:00,4695669.981109034 
 01/31  21:00:00,259200.0 
 01/31  22:00:00,324000.0 
 01/31  23:00:00,216000.0 
 01/31  24:00:00,57600.0 
